(12/20/2023 12:23:39 PM) |> ----------------------------------------------
(12/20/2023 12:23:39 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 104), Value; (67)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 103), Value; (65)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 102), Value; (96)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 101), Value; (90)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.Deal)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 100), Value; (86)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 99), Value; (9)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 98), Value; (18)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 97), Value; (28)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 96), Value; (37)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 95), Value; (0)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 94), Value; (3)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 93), Value; (37)
(12/20/2023 12:23:45 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.DisplayDrawPile) [drew stuff]
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], Gamerules;
    do_DrawtoMatch (False),
    do_Flip (False),
    do_ChianAdds (False),
    do_2v2 (False, teams (1, 2, 3, 4))
    Player Amount (2)
    Card Amount (7)
Player Index; (0), Discard Pile Count; (1), Top Card; (blue 5; 5 Points)
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 765)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 765)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 765)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 765)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 765)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 765)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 765)
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.UpdatePoints) [77]
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 5; 5 Points
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/20/2023 12:23:45 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.UpdatePoints) [31]
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 5; 5 Points
(12/20/2023 12:23:45 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-1)
(12/20/2023 12:23:45 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-6)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (1), Added; (blue 5; 5 Points)
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:23:45 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (7)
Player1 CardCount; (7)
    PlusAmount (0)
    Discard Pile Count; (1), Top Card; (blue 5; 5 Points)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (6)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.cardPB_Click), Card Index (6)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (8), error
(12/20/2023 12:23:48 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (6), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 8), Player Index (1)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 765)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.UpdatePoints) [146]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 8; 8 Points
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.UpdatePoints) [62]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 8; 8 Points
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:23:48 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (4)
(12/20/2023 12:23:48 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (8)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (2), Added; (blue 8; 8 Points)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 8; 8 Points
(12/20/2023 12:23:48 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 1), Value; (0)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/20/2023 12:23:48 PM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (2), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 0
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (4), error
(12/20/2023 12:23:48 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 4), Player Index (0)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 765)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 765)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.UpdatePoints) [215]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 4; 4 Points
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/20/2023 12:23:48 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.UpdatePoints) [89]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue 4; 4 Points
(12/20/2023 12:23:48 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:23:48 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-8)
(12/20/2023 12:23:48 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (8)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (3), Added; (blue 4; 4 Points)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (6)
Player1 CardCount; (6)
    PlusAmount (0)
    Discard Pile Count; (3), Top Card; (blue 4; 4 Points)
(12/20/2023 12:23:48 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (6)
Player1 CardCount; (7)
    PlusAmount (0)
    Discard Pile Count; (3), Top Card; (blue 4; 4 Points)
(12/20/2023 12:23:51 PM) |> method; (GameForm.GameForm_FormClosing)
(12/20/2023 12:23:52 PM) |> method; (Form_PauseMenu.closeBT_Click) [closes here??] ---------------------------------------------------
(12/20/2023 12:28:44 PM) |> ----------------------------------------------
(12/20/2023 12:28:44 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/20/2023 12:28:47 PM) |> method; (SetupFormClass.twoPlayersBT_Click) [2v2; false, PlayerAmount = 2]
(12/20/2023 12:28:48 PM) |> method; (SetupFormClass.doneBT_Click)
(12/20/2023 12:28:48 PM) |> method; (Form_PauseMenu.Form_PauseMenu)
(12/20/2023 12:28:48 PM) |> method; (GameForm.GameForm), Width: (1440), Height; (870), Size; ({Width=1440, Height=870})
(12/20/2023 12:28:48 PM) |> method; (PlayerClass.PlayerClass) [Player init], is AI (False), Team; (1)
(12/20/2023 12:28:48 PM) |> method; (AIClass.AIClass()) [AI INIT]
(12/20/2023 12:28:48 PM) |> method; (PlayerClass.PlayerClass) [Player init], is AI (True), Team; (2)
(12/20/2023 12:28:48 PM) |> method; (GameLogicClass.MakeDrawPile)
(12/20/2023 12:28:48 PM) |> method; (CardClass.CardClass) [Card INIT],
    NormalColor; (r),
    NormalNumber; (0),
    NormalPoints; (0),
    Image; (C:\Users\travis\Documents\GitHub\uno\bin\Debug\\small\\red_0.png)
(12/20/2023 12:28:48 PM) |> method; (CardClass.CardClass) [Card INIT],
    NormalColor; (r),
    NormalNumber; (1),
    NormalPoints; (1),
    Image; (C:\Users\travis\Documents\GitHub\uno\bin\Debug\\small\\red_1.png)
(12/20/2023 12:28:48 PM) |> method; (CardClass.CardClass) [Card INIT],
    NormalColor; (r),
    NormalNumber; (2),
    NormalPoints; (2),
    Image; (C:\Users\travis\Documents\GitHub\uno\bin\Debug\\small\\red_2.png)
(12/20/2023 12:28:48 PM) |> method; (CardClass.CardClass) [Card INIT],
    NormalColor; (r),
